66590928,66619669,66669518
66591133,66607033,66669710
66591340,66615930,66628653
66591426,66625611,66624555
66591571,66685474,66678271
66591838,66604514,66775873
66591945,66634559,66718847
66593421,66774850,1445170080,1445170432
66594965,66773370,66666159
66594997,1445170318,66616406,1445170548
66595208,1445169850,66615133,66753344
66595318,66722379,66720582
66595402,66718945,66771153
66597475,66621191,66690614
66597659,66625611,2264432100
66598363,66696617,66727460
66598945,66750202,66707860
66599020,66639639
66599466,1439024973,1443766603,3170859578
66600281,66619863,66651186
66600491,66729584,4591880045
66600724,66688461,1443766530
66600924,66714013,66701736
66601140,66747078,66704947
66601419,66665401,66772614
66601451,66739717,66725900
66601516,1445170295,66760286,1445170384
66601620,66622645,1445169801
66602356,66736958,66754192
66603061,66691782,66736840
66603678,66744564,66720582
66604039,66768607,66701736
66604514,66591838,66768690
66604819,1445169950,4591888023
66605406,66661098,66704951
66605670,66666550,66619459
66605843,66766541,4296664234
66605871,66607915,66677226
66605908,66690954,66761964
66606446,66711459,66726905
66607033,66612839,66591133
66607915,66639231,66605871
66608280,66719256,66762001
66609472,66768403,1445170469
66609557,66775399,66772704
66609703,319882541,66632137
66610037,66677646,66727047
66610257,1445170602,1445170427,1445169849
66610281,66635578,66632382
66611226,66769558,66718017
66611749,66704477,66615764
66612839,66607033,66692387
66613128,66750523,4296664234
66613206,66775873,66752739
66613634,1439024928,66694721
66613714,66700448,66615133
66613736,66648852,66680288
66613739,66616139,4591880050
66613748,1445170348,1445170414
66613767,66754649,66681734
66613891,66742395,66642723
66614239,66749536,66640832
66614285,66750523,66712696,4296664235
66615053,66635213,66635947
66615133,66595208,66613714
66615288,66618895,66757746
66615338,66684861,66615363
66615363,66731178,66615338
66615764,66756752,66611749
66615930,1443766560,66725079,66591340,1443766530
66615952,66620360,66668849
66616139,4594435076,66613739
66616406,66634559,66594997
66616904,1445170412,66657887
66618452,1626446838,66725794
66618699,66646083,66643453
66618895,66699848,66615288
66618962,66640832,66697845
66619459,66605670,66671316
66619567,66666550,66731178
66619669,66590928,66708184
66619863,66600281,1445170061
66619901,66662007,66671316
66620360,66615952,66719256
66620871,66769558,66731955
66621191,66597475,66700466
66621266,66760286,66642128
66621839,66750820,66680288,1445169863
66622645,66707821,66601620
66623319,66762001,66697845
66623588,66764082,66635213
66623950,66653398,1445170412,66761964
66624229,66680151,66737971
66624555,66728645,66591426
66625611,66591426,66597659
66626853,66775557,66645619
66627074,66669954,66703173
66627723,66675600,66711701
66627769,66746741,66677226
66627857,66748450,66735070
66628653,66591340,66690289
66628896,66723716,66704310,1445170575
66628914,66708389,1701851306
66629985,66690805,66701452
66630529,66705894,1445170086,66680110
66630860,66695165,66713780
66631711,66694721,66713064
66632137,66609703,1445169862
66632382,66610281
66632740,1603679824,66678768
66634293,66691491,4591880045
66634301,66635578,66642130
66634559,66616406,66591945
66634747,66722715,66676635
66635213,66623588,66615053
66635413,4849680875,4849680869,66756026
66635578,66705771,66634301,66610281
66635947,66615053,1445170262
66636049,66692665,66747508
66636751,1445170584,66762336,66669680
66638628,66693609,66641437
66638823,1439024956
66638945,66755654,66718017
66639231,66696617,66607915
66639638,66700812,4296675045
66639639,66695702,66599020
66640832,66614239,66618962
66641437,66638628,66712897
66641476,1443766554,66669893,66775440
66641620,66677606,66717960
66641749,66648227,66656993
66642128,66764082,1445170468,66621266
66642130,66720357,66634301
66642723,66704996,66613891
66643048,66725079,1443766530,66708569
66643453,66618699
66643813,66705072,66757746
66644119,66763192,1445170345,66727647
66645256,66746741,66666076
66645458,66669954,1443766427
66645619,66626853,66767621
66645654,66775440,66751927
66645793,66747346,66712897
66646083,3151897140,66618699
66646200,3151897217,66764373
66646405,66771397,66698331
66646784,66697270,66687804
66647553,66737971,66714347
66648227,66699287,66641749
66648852,66704310,66613736
66649818,66655973,66738290
66650103,66698048,66701696
66650493,66725900,1445169830
66651186,1445170272,66600281,66774137
66651925,66739717,66717236
66652040,66669518,66674389
66653071,66690805,66694004
66653398,66623950,66771153
66654267,1603680284,66695095
66654944,66731645,66696169
66655774,66733850,66771397
66655973,66649818,66772771
66656208,66677295,66711423
66656797,4849680874,66656993
66656993,4849680871,66656797,4849680876,66641749
66657887,66725680,66616904
66657897,66690832,66682923
66658527,66738634,4277553945
66658731,66682724,66773370
66660048,66770741,66744408
66660471,66696015,66744408
66660929,66680151,1701851306,66685291
66661098,66729208,66605406
66661136,66667354
66661389,66750776,66768607
66662007,66619901,66676635
66662689,66729208,1445170293
66664430,66675963,66759765
66665401,66601419,66750253
66666076,66645256,66718925
66666159,66594965,66669710
66666550,66619567,66605670
66667074,4277553949,4277553945
66667354,66697270,66661136
66668690,66715113,1445170559,66727647
66668849,66615952,66750202
66669518,66590928,66652040
66669680,66636751,1445169801,1445170061
66669710,66666159,66591133
66669836,66692387,66747291
66669893,66641476,1439024813
66669954,66627074,66645458
66670044,66728645,66735070
66670166,66690954,66688563
66670230,66693972,66709480
66671316,66619901,66619459
66672372,1439024941
66672467,66756752,66714174
66672562,66704951,66683719
66672627,66701452
66674389,66691746,66652040,1445169916
66675600,66627723,66752458
66675963,66664430,66702310
66676635,66662007,66634747
66677226,66605871,66627769
66677295,66768012,66656208
66677606,66641620,1445170356,66718847,3292747504
66677646,66705576,66610037
66677911,66714013,66713700
66678271,66591571,66725794
66678768,66691821,66632740
66679688,1445170080,66767621
66680110,1445169802,66630529
66680151,66660929,66624229
66680288,66613736,66621839
66681734,66748450,66613767
66682724,66658731,66707860
66682923,4594449503,66657897,66750253
66683719,1445170591,66672562
66684861,1443766433,1443766378,66615338
66685077,66716312,66753344
66685291,1626446839,66660929
66685474,66591571,66768012
66685854,66721167,66690614
66687246,1445170591,66688934
66687804,66646784,66763185
66688461,66704996,66600724
66688563,66670166
66688934,66699949,66687246
66690198,66713641,66727460
66690289,66628653,66734118
66690614,66685854,66597475
66690708,66725079,1443766485
66690805,66629985,66653071
66690832,66657897,66705096
66690954,66670166,66605908
66691296,66712696,4296675045
66691491,4277553939,66634293
66691532,4591880050
66691746,66749243,66674389
66691782,66603061,66703173
66691821,66678768,66713780
66691909,66757124
66691919,66693972,2264432094
66692387,66669836,66612839
66692665,66750776,66636049
66693211,66713052,1445170262
66693515,66715250,66732524
66693609,66764082,66638628
66693972,66691919,66670230
66694004,66736958,66653071
66694721,66613634,66631711
66694809,66731532,66711701
66694903,66774137,66714002
66694947,66747346,1445170348
66695095,3151897140,66654267
66695165,66630860,66727249
66695702,4277553940,66639639
66696015,66660471,66758056
66696169,66766541,1443766504,66654944,1445170577
66696617,66639231,66598363
66697270,66667354,66646784
66697596,1445170421,1439024901
66697845,66623319,66618962
